38,9,4.222222222222222
143,30,4.766666666666667
78,18,4.333333333333333
75,18,4.166666666666667
113,29,3.896551724137931
120,27,4.444444444444445
114,28,4.071428571428571
90,18,5.0
115,26,4.423076923076923
69,18,3.8333333333333335
63,16,3.9375
134,33,4.0606060606060606
115,25,4.6
345,79,4.367088607594937
127,30,4.233333333333333
34,7,4.857142857142857
86,21,4.095238095238095
150,38,3.9473684210526314
7,2,3.5
21,5,4.2
49,9,5.444444444444445
8,1,8.0
6,1,6.0
8,1,8.0
46,11,4.181818181818182
202,50,4.04
115,29,3.9655172413793105
23,7,3.2857142857142856
43,10,4.3
73,19,3.8421052631578947
120,26,4.615384615384615
95,20,4.75
58,15,3.8666666666666667
38,10,3.8
96,23,4.173913043478261
150,34,4.411764705882353
86,19,4.526315789473684
64,15,4.266666666666667
80,16,5.0
96,19,5.052631578947368
164,39,4.205128205128205
77,18,4.277777777777778
27,4,6.75
27,7,3.857142857142857
25,6,4.166666666666667
11,2,5.5
50,15,3.3333333333333335
24,6,4.0
64,17,3.764705882352941
18,5,3.6
142,36,3.9444444444444446
143,34,4.205882352941177
48,8,6.0
65,13,5.0
160,35,4.571428571428571
25,6,4.166666666666667
18,6,3.0
139,33,4.212121212121212
78,18,4.333333333333333
31,8,3.875
83,20,4.15
15,3,5.0
74,20,3.7
14,4,3.5
95,24,3.9583333333333335
91,22,4.136363636363637
40,12,3.3333333333333335
12,2,6.0
174,42,4.142857142857143
196,47,4.170212765957447
29,5,5.8
61,15,4.066666666666666
138,32,4.3125
80,18,4.444444444444445
71,16,4.4375
119,26,4.576923076923077
121,28,4.321428571428571
74,17,4.352941176470588
201,47,4.276595744680851
65,11,5.909090909090909
152,33,4.606060606060606
91,22,4.136363636363637
83,21,3.9523809523809526
135,32,4.21875
237,53,4.471698113207547
96,20,4.8
172,34,5.0588235294117645
291,63,4.619047619047619
86,20,4.3
264,59,4.47457627118644
145,30,4.833333333333333
37,6,6.166666666666667
291,66,4.409090909090909
53,14,3.7857142857142856
252,67,3.7611940298507465
68,14,4.857142857142857
43,9,4.777777777777778
126,25,5.04
111,28,3.9642857142857144
188,40,4.7
84,18,4.666666666666667
85,19,4.473684210526316
178,41,4.341463414634147
134,30,4.466666666666667
97,21,4.619047619047619
74,15,4.933333333333334
235,53,4.433962264150943
75,14,5.357142857142857
92,19,4.842105263157895
185,43,4.3023255813953485
43,8,5.375
132,29,4.551724137931035
116,28,4.142857142857143
76,16,4.75
120,29,4.137931034482759
243,51,4.764705882352941
66,17,3.8823529411764706
27,8,3.375
38,7,5.428571428571429
133,31,4.290322580645161
27,6,4.5
94,25,3.76
82,18,4.555555555555555
93,21,4.428571428571429
177,43,4.116279069767442
329,68,4.838235294117647
60,14,4.285714285714286
89,20,4.45
52,10,5.2
140,28,5.0
88,20,4.4
116,27,4.296296296296297
92,21,4.380952380952381
166,36,4.611111111111111
61,14,4.357142857142857
64,18,3.5555555555555554
76,18,4.222222222222222
82,22,3.727272727272727
225,56,4.017857142857143
59,14,4.214285714285714
81,20,4.05
113,27,4.185185185185185
69,14,4.928571428571429
77,20,3.85
119,25,4.76
62,12,5.166666666666667
21,8,2.625
63,15,4.2
82,19,4.315789473684211
137,30,4.566666666666666
88,21,4.190476190476191
36,9,4.0
112,31,3.6129032258064515
36,9,4.0
48,14,3.4285714285714284
80,23,3.4782608695652173
127,33,3.8484848484848486
155,35,4.428571428571429
142,33,4.303030303030303
56,12,4.666666666666667
179,45,3.977777777777778
41,10,4.1
48,14,3.4285714285714284
204,50,4.08
106,22,4.818181818181818
50,13,3.8461538461538463
121,26,4.653846153846154
99,25,3.96
155,34,4.5588235294117645
130,30,4.333333333333333
45,11,4.090909090909091
20,6,3.3333333333333335
44,11,4.0
169,45,3.7555555555555555
27,9,3.0
94,21,4.476190476190476
113,25,4.52
81,20,4.05
66,15,4.4
165,41,4.024390243902439
277,57,4.859649122807017
54,12,4.5
45,11,4.090909090909091
120,29,4.137931034482759
91,19,4.7894736842105265
192,43,4.465116279069767
145,39,3.717948717948718
147,35,4.2
18506,4319,4.284788145404029
